review,PN
popped in on spec during chinese new year celebrations so there was a bit of a wait for a table we do enjoy korean bbq first we ordered vegetable goyza whilst waiting for the bbq to warm up we then had a selection of dishes beef in beer chicken mushrooms spuds etc along with lettuce rice and chilli and garlic for me to give the meal an extra kick the dishes did come out rather haphazardly indeed the potatoes which took the longest to cook came out last house wine is great value at around 13 a bottle there s beer to inc hite if you want something korean service is slightly random though tbf it was very busy when we arrived food is good though and overall we certainly enjoyed our meal and at 50 excl service it s good value btw it s cash only here plenty of cash points nearby ,1
i came here twice so far and love the food miss korea is a real authentic korean restaurant with bbq plates on the table and a huge menu of everything from kimchi pancakes bibimbap and a variety of jigae to bbq meat and seafood grilled and fried dishes plus a full vegetarian menu the quality of food here is excellent and they re kimchi is the best i ve ever had in terms of uk korean restaurants the portions are big and the prices are cheap mains are around 8 9 starters are around 5 each the service is basic at best the staff are efficient but not too attentive they also do not accept card so it s cash only which is a downside i loved the seafood bibimbap and spicy tofu jigae both tasted divine overall high quality flavorful and authentic korean food cheap prices generous portions but average service ,1
for a first timer trying korean cuisine this is a great place to start especially loved the hotpot bean sprouts and fish cakes ,1
food there is so good we order the soup barbecue meat and fried chiken they are all beyong my imagination it is definitely the best korea restaurant i have ever been ,1
my husband took me for new years spotted how busy it was usually a good indication of quality staff are friendly and helpful food was so tasty and very well presented fab my new fave restaurant,1
having been to many korean restaurants in the uk mainly london i can say without a doubt that this one is the best for food service is good and the setting is nice value wise they give generous portions definitley worth a visit if you re in birmingham it is situated just on the outskirts of chinatown ,1
went with family really enjoyed the food having been to most of the restaurants in china town i can say the quality was one of the best service was quick considering how busy it was,1
food is amazing but seriously the service is awful still worth going tho the quality of the food outweighs the crap service,0
this was my first time and it was a little unsure as i have never had korean however i really enjoyed myself and found the ombience inviting good service and tasty food,1
so rocked up here last night with family and friends for my birthday me hi have a table booked for 8 at 7 them errrrr that was kind of the way the rest of the night went drinks order took over 20 mins to arrive waitress to order the food took as long again to come over then better part of an hour wait for anything my meal came out everyone else got left waiting had to go up twice to chase up everyone elses food must have been at least another 20 mins before some of theirs came i had long finished before the 2 katsu curerys came at the end ill give them their dues they were very apologetic and threw in a couple of rounds of drinks and some food to try and appease things which softened the blow a little the food though was really really good bitter sweet really bursting with flavours cooked to perfection and well presented no one had anything other than beaming smiles they tucked in and it was clean plates all round not a bad word to say about that just a shame that the service was soooo bad if you dont mind spending 4hrs in a restaurant feeling like no one cares about your experience the food is ore than worth it xx,0
we have never tried korean food so were looking forward to tasting something different we were greated and seated quickly and then informed they only accept cash i wonder why that is the service was terrible staff who couldn t care less the food came out in dribs and srabs over 15 minutes mains first and then 15 mins later the rice useless i wouldn t recommend miss korea ever ,0
i really enjoyed this place i went there with my korean friend totally affordable and genuine food relaxed atmosphere we spent 28 in total,1
decent korean food service is ok seems like a fairly new restauranteur team so some of the sequencing was a bit off for example we ordered 2 starters but one came after we d started the main course so we sent it back and my wife s main course came a few minutes after mine which we had to flag however the team of waitresses were well dressed and couldn t do enough to help once they had realised their mistake so overall decent food a friendly restaurant team they just need to improve some of their sequencing overall miss korea is a good edition to birmingham s burgeoning asian restaurant quarter ,1
went to miss korea with my friend today we had bbq between two of us we ordered mixed beef and pork and also spare ribs soup with potatoes they all came in big portion great value for money and high quality meat nice enviroment and friendly staff had a really good time we will definitely visit again ,1
we really enjoyed miss korea the food was outstanding and i would recommend you to try this restaurant,1
this place serves one of the best korean food in uk but the service is far from good the owner should really monitor the service from their staff,1
a little slow on the cooking but worth waiting excellent korean authentic food experience will definitely be coming back for more,1
never been to a korean restaurant before so can t really compare it but the food was great fresh ingredients make for tasty different flavors from what i m used to ambience is poor and decoration is somehow boring if you can ignore this then its fine staff was correct i d come back ,1
massively underwhelmed with this place very few bbqs actually worked the food was honestly slightly dodgy although their veggie kimchi pancake and tofu were lovely but then again quite expensive for what they were the staff were rude and slow only two tables were busy and you cant pay with card i had a really hot soup which was served with a metal spoon and burnt my tongue massively ,0
not good terrible experience no help from a stupid waitresses for complex menu need to send them back for training for a a good customer service not again its a waste of time and money ,0
 you guys are stupid that is what you said i had heard excellent things about this place but the experience i had today was the complete opposite first of all the one waitress at the place was absolutely rude she had the worst scowl on her face and had kept pinning everything she did wrong on somebody who had little english skills as we had previously mentioned to the woman she had misheard one of the orders which to me when she was taking the orders looked like she didn t give a flying toss when we explained she got the order wrong she gave us the dirtiest look and told us we were wrong and spent 30 minutes trying to get us to eat something we did not order and when we finally received what we had originally ordered it was once again not the right food we had pointed specifically to braised chicken bulgogi with bbq sauce which we pointed at the photo which we revived a dish which we did not order after finishing the food we received the bill and split it between 7 of us and 2 of the girls left shortly after as soon as the girls had left the waitresses came over to tell us that they messed the bill up and it went from 78 to 85 which i must say we are 15 and some of us do not have a lot of money and would have helped if they could have told us before the girls had left so overall i will not be re visiting and i do not recommend going there ,0
the food was slightly below average the service is as bad as it can get it s a wonder how they are still open but then again it s cash only so maybe someone is forgetting to declare their taxes won t be returning ,0
we ate in here for the 1st time on a monday night the restaurant was very busy and has a great ambiance the servers were all friendly and the food is excellent to start with we had the chicken kangpopi which was larger enough to have been a main course the sauce was very good not too spicy but had enough flavour for my main course i had the chicken katsu again this was very good the chicken was well cooked and the curry sauce was great the sticky rice was also brilliant my wife had a beef dish which she enjoyed and was well cooked this was my first visit to miss korea and will not be my last for a starter 2 mains a soft drink and 1 glass of wine the total was 34 which is excellent value ,1
good was lovely drinks were served quickly food not so quickly waitress service wasn t the best seemingly too rushed off their feet to be too friendly or offer any menu guidance etc we have eaten korean bbq before but they should really assume that and should take the time to offer to assist new clientele we ordered squid beef and spicy pork with sides for the bbq everything was lovely and fresh staff were attentive at keeping an eye on bbq temperature and replacing the grease proof paper laid over the bbq though i would recommend but maybe not for ppl trying korean for the first time ,1
went with my husband and 13 year old son it was a good pleasant atmosphere service a bit slow as low on waiting staff steak was very good ox tongue and belly pork was not pleasant chicken was average ,0
i ve been there with friends 3 times and trust their advice on what to eat as menu is complex and difficult to use the food is tasty and there is certainly no rush to take orders deliver food and drink and to bring the bill on each occasion there have been lots of chinese and or korean customers so this must mean they re doing something right remember to take cash as they don t accept card payments ,1
not welcoming sat for 35mins didn t ask if we need help with the complex menu no drinks offered no do you need help we got up and left nobody asked us or approached us we had no idea what we were doing all we got was there is your seat there is your menu went to miss vietnam instead it has started well already got our drinks ,0
had a fabulous meal cannot fault it in any way our eating experience at miss korea was very enjoyable this was our second visit and both times it was outstanding everything we had was fresh the staff were very helpful and polite i would highly recommend this restaurant if your willing to have a go at cooking some things yourself it s fun and a must try for anyone who likes something different for people who don t want the bbq there s enough choice on the menu reasonably priced too excellent can t wait to come back,1
went to try this restaurant the very first time but they successfully made us not to return the cash only restaurant which you will be told when you sit down and of course again and again afterward it was quick when order the food but long waiting time after that you need to be patience and not too hungry so keep chatting or bring a book food was a bit disappointed frozen meat was served for bbq maybe it is ok vegetables were not fresh food portion is small we ordered a kimchi fire rice as we love kimchi but it was so hard to dig out some kimchi and can hardly see the pork service was awful all waitresses may had a super hard day one of them turned off our bbq cooker suddenly without even said a word when we still have meats on there not a good experience very disappointed ,0
i was excited to try this place for the korean bbq having wandered past a few weeks before the welcome we received should have given some warning signs of the experience we d receive on arrival it took five minutes for the staff to acknowledge us at which point we were asked to wait for a table this was fine however we then sat for 30 minutes before being shown to a table which was vacant when we had arrived half an hour prior we d browsed the menu whilst waiting so were ready to order but had to wait another 20 minutes to place our order successive staff members telling us there was only one member of staff who could take orders whilst ordering we were then informed that the restaurant was cash only so i had to wander to the local tesco to get enough cash to cover the meal a 20 minute wait at a busy cashpoint was not ideal but made little difference as our food took a good 45 minutes to arrive anyway i love a seafood pajeon pancake this was the first of our order served the miss korea version was unusually heavy and relatively tasteless a disappointing start our bbq options then arrived this was better a good portion of pork belly which we struggled to finish the experience however was affected again by the service a surly member of staff repeatedly messing with the temperature controls without explanation and removing all food on the bbq to a plate again without explanation it turns out to replace the grease proof paper on the grill we also had to ask at least five times to have a glass of tap water delivered to the table it eventually arriving at the end of the meal overall a very disappointing experience i don t think we ll be back the food a pale imitation of decent korean cuisine and some of the worst service i ve received for a while ,0
it took 45 minutes for them to serve us never coming back food quality didn t make up for the wait either ,0
amazing service the waiters were absolutely lovely it looked great and the dishes were really tasty the kimchi pancake was the best i have ever tried we also enjoyed the tteokbokki and the bulgoki the bibimbap was slightly disappointing but the overall experience was brilliant also nice music ,1
but the place dis not meet our expectations the service was very slow and rather rude they accept only cash it was so cold inside the restaurant so we had to wear our jackets ,0
was excited to visit miss korea as i love korean food the food itself was alright but the service was so slow ,0
i m a korean but i wasn t able to feel korean food in this restaurant i think the owner is a chines so the taste towards more on chines style than original korean i had soybean paste stew and bibimbab the stew was so salty and less ingredient i think if they put more tofu or other vegetables in the stew it would be better and my friend said the bibimbab has to much rice and less vegetables and meats maybe i can make better dishes than this restaurant also i don t know why they are only available cash i had to withdraw money from near atm 버밍엄에 한식당이 많이 없어서 기대 했는데 종업원들도 중국인이고 한식을 잘하는 식당은 아닌것 같습니다 된장찌개가 짠맛밖에 없어요 비빔밥은 찌개보다 먹을만한데 같이 간 친구는 밥을 정말 많이 남겼어요 ,1
i would say that they dont really have much options the service is great the place is beautiful but then the options were less ,0
fantastic little find thought the food was excellent and service brilliant especially for only 2 people covering a busy friday night we had set menu 2 with meat and veg excellent value for money in both quantity and quality chefs are having their summer break soon but will definitely be visiting again once they are back ,1
we spend a few days in birmingham we drove for like 3 hrs n a half to arrived then we straight went for miss korea for dinner it was good love korea food the kimchi pancake was good as well as the soup with rice ,1
great food very well served only 2 problems is cash only and they don t bring the good all st the same time ,1
i ve always eaten here because i like the ambience of the restaurant it looks way better than typical restaurant in most china town i ve also always loved eating korean foods so no matter which restaurant i order it from i m still gonna like it however the staff needs more training as they all seemed to be young student girls with no experience in customer service once you have your food on your table they don t ask you anymore whether everything is okay or not one time i had to call the attention of the waitress for 3 times and she still didn t come to our table because they were busy showed they were short of staff too and can t handle busy shifts i saw the manager i assume she is lowkey telling off the waitress when she didn t know the name of the food she was serving there were times too when the food order took so long to arrive on the table and not at the same time they ll bring one after the other again it showed slow service from the kitchen like i said i love korean foods but the service in this restaurant needs improvement oh i was surprised when i saw that they charge you for service charge when you don t get the service you deserve to get anyway ,1
was taken for a mother s day meal what a meal if was we waited at least after hour before being dealt with was told we would need to pay by cash despite seeing others pay with card we ordered drinks before my daughter went to the cash point i waited and the staff served the other familes arounf us despite us being seated first did not want to bring the drinks out until she was back it was across the road in view of the restaurant the food it s self over cooked tough under seasoned and plain tasting was not enjoyable at all the service was appalling it was like we was a burden to them the it was a shambles out starters we were brought one starter out of 3 and it took another 25mins before it was received we had our mains before our starter arrived ended up just paying for what was ordered and leaving still hungry disappointed ,0
fresh meat you can bbq yourself on your table i would say the only problem with this place is they accept cash only ,0
tucked in a corner of chinatown this little slice of korea was almost empty when we arrived at 12 15 the waitress was swift to warn us that they were cash only but luckily there was a cash point in the tesco express just up the road by 12 45 the place had filled with chatter even the large banquet table down the middle was full reassuringly the majority of diners were korean and we were only 1 of two tables with westerners on it the menu was all in english and the waitresses were quick to take our orders and very helpful we ordered samgyupsal belly pork bbq soy bean soup and kimchijeon kimchi pancake the kimchijeon came first unusually it seemed to have been deep fat fried and so had a slightly crisp coating but still tasted quite good the soy bean soup was good though a little low on chillies the samgyupsal was somewhat disappointing rather than the thick meaty strips of the home country this was more reminiscent of bacon thin and overly fatty despite that it was an enjoyable meal coming to 32 00 for the three dishes plus sides and drinks is certainly go back to see how the other food compares ,1
visited today with family attended chinese new year celebrations short wait for table one member of staff very helpful not had korean food before barbecue looked good food piping hot starters arrived separately few minutes apart although were very busy not bad first time eating experience some of waiting staff indifferent waited ages to pay only after we were seated and had ordered drinks were we told cash no cards ,1
evening meal with a work colleague very good food and authentic korean menu the meal just felt a little rushed with starters brought out separately and mains before starters had been finished would 100 eat here again ,1
me and my friends went for lunch and it was a great day the staffs are wonderful very friendly and attentive particularly the filipino lady who served us the food was delicious and we had a wonderful experience ,1
love this place i visit here monthly and love the veggie options kimchi pancakes are delicious so in the tofu soup hotpot and bimbwa ,1
reception was okay and they were very helpful not sure if this was because it was a sunday but i am old and experienced enough to know my good was heated and not cooked fresh my husband had a bibimbap which looked fresh and maybe should have ordered that was recommended miss korea by a colleague and this place is nothing to write home about sorry ,0
the food was fresh good value and really tasty the restaurant is on the edge of china town it is clean tidy and pleasant waitress was friendly polite and attentive it has a car park directly opposite ,1
food was nice when we got it starter missed firstly then a main missed which came with rice which had to ask for again ,1
came here for lunch on a saturday and had a great meal between the two of us we tried the pork gyozas and basically had the bbq we chose the beer lamb bbq beef and the beef ribs all very tender once on the bbq the ribs were a bit chewy though our bill came to around 40 and included two bowls of rice and some soft drinks overall highly recommended if you re a beginner to korean food the only downside is that the ventilation isn t great so you do end up smelling like your food ,1
poor service staff cannot manage waited a long time to order in spite of calling out to staff apparently there is only one staff who can take order after a long time she then came take the order of another group who came after us when this was pointed out she said that she would need to ask her boss who came first absolutely disgraceful needless to say we walked out there are other korean places to eat in birmingham avoid ,0
their pork bbqs are tender and delicious but i really don t like the fact that we have to order extra for lettuces because lettuces are complimentary for korean bbq in most restaurants i have visited side dishes have to order separately and not free kimchi soup came with complimentary rice bowl though the taste of other foods are quite okay but not as good as the one i went at manchester the decoration is nice and the staff is friendly only cash is accepted ,0
the restaurant is very nice the service sometimes a little bit slow but friendly and helpful i liked the beef tartare it s amazing the portions are quite big and few times i asked for a doggy bag they had no problem with that and were very organized nice place to have good food and nice atmosphere ,1
we enjoyed the food tempura was delicious comfy chairs bibimbap was nice good service will visit again ,1
we wanted to go somewhere different as a family for father s day lunch and a friend recommended here i always read reviews beforehand and so we knew about the cash situation and that service tended to be slow we got there when it opened at noon and so service was not at all slow we were the only customers for a while it gave us time to ask lots of questions about the food and the numerous options two of us chose the cook yourself bbq option and two had terryaki dishes the beef terryaki was delicious and it was a novelty to cook on the grill the rest of the food was good verging on ok we didn t appreciate the additional tax added onto the bill but had been very happy with our young waitress and the service she provided probably won t rush back but wouldn t rule it out either,0
accept cash only long waiting time pricey compared to other korean restaurant nearby no ventilation at the shop bad customer service we asked whether we could change our seating area cause the sun keep facing at my seating area been refused and no apologies we were so disappointed with this simple request as there were still plenty of seating table available at that time we have to end up take away all our foods and went to somewhere else to have our dinner would not recommend and would not ever go there again ,0
me and a friend were feeling adventurous in trying out a new cuisine we passed miss korea as an off chance thought we would try it first up was the korean tea very much an acquired taste too woody for me we ordered an appetizer to share belly pork with kimchi which was rather a large dish i felt it would have been better served with rice or noodles as it had a rich salty spicy taste to eat alone the main courses were chicken bibimbap and seafood udon noodles both dishes were very tasty and filling the bibimbap was an unusual dish as it is a very hot stone clay pot with rice at the bottom topped by vegetables and meat of your choice then a raw egg the idea is to mix it all together before you eat it almost as if you are stir frying the dish our waitress was very helpful and informative about the dishes we asked about the downside was cash only which we did not know until we asked for the bill ,1
korean food seems to becoming more and more fashionable these days i especially like how there are so many vegetarian vegan options on offer at this restaurant and it was very clean and comfortable the toilets are fun a cat meows whenever you open the door this type of quirkiness is what makes south east asia so fascinating my tofu was fantastic and just spicy enough staff were so cute and smiley too we were the only white people in there which is a testament to how authentic this place is we would definitely return the next time we are in birmingham especially as the hippodrome theatre is down the road ,1
i been coming to miss korea restaurant since late 2013 and every single time that i come here the food is consistent the standards are high the staff is friendly as well as helpful there isn t much korean restaurants in birmingham england this is a treat who want to try something different other than chinese japanese indian or thai food korean kimchi stew is very healthy kimchi itself is one of the healthiest foods on earth it based on fermentation of different vegetables the most popular one is with cabbage ,1
celebrated my birthday here there was 20 of us seated just fine only one lady server initially then the second lady came after an hour fantastic service and food is served excellently will definitely come back again price is a bit high but went with great satisfaction ,1
bad food even worse service they only take cash due to evading tax probably ordered a lamb meal and it tasted gross i barely touched it so i complained to the waitress and she could not speak much english and apologised but kept checking with the owner what they could do and all they could offer was 15 off our bill which is a complete rip off as my food arrived 30 mins after my friend has had his food no apologies about this whatsoever after a while the owner came out very rude and arrogant saying they do not care if we don t like the taste of the food as to them it tastes okay they tasted my leftovers as well wtf horrible experience i will not be coming back ever probably will put a formal complaint as well after how we were treated ,0
1 lots of people seated extremely slow service it isn t bad it is just slow once seated wait 5 10 minutes for drinks order wait for drinks 5 10 minutes another 15 20 minutes wait for food order raw bbq yourself orders will obviously get theirs quicker possibly another 25 30 minutes additional wait for the cooked food we opted for all cooked so first 2 people ate theirs whilst other 2 watched once finished still a wait before the other 2 people were even served 2 food was tasty and portions we thought were good 3 cash only 4 there are separate booths and tables for 4 the row of tables down the centre all squeezed together so you may be next to strangers the seats are comfy and the atmosphere is lively and you will likely be socialising with your own company anyway 5 you your clothes coats will come out smelling of bbq oil grease chilli etc the vents up above in the ceiling might not be doing anything useful at all would recommend going if you have lots of time want to try different flavours on your palate and want a different experience of cooking whilst socialising and eating next time we come we ll choose our clothes wisely ,1
don t understand the 10 tax or i think it s a tip added because they accept cash only the food is in small portion so need to order loads ,0
had a good night here with the family kimchi was spicy and delicious on the bbq the spicy pork was our favourite soups had lots of flavour prices were fine not cheap but no big shock when bill arrived negatives there is no extraction system so the place is full of bbq smoke clothes will smell after and like other reviewers noted the service charge is hidden it is put on the bill as tax rather than service and the waitresses are vague when ask them if service is already included or not it is ,0
had a lovely bowl of bibbimap full of flavour excellent starters too quick efficient service we did come out smelling of oil though it lacks a bit of atmosphere but i don t mind that we only wanted a quick bowl of something we weren t looking for a full on dining experience worth popping by if you re in the area ,1
food were small portions and the price were expensive the waitress said they only receive cash after i have placed an order so my friend had to go to the cash machine we had korean bbq and the ventilation system was poor the toilet light was very dark ,0
this was my first visit for quite a while and since it has been refurbished mid evening on a friday night we only had to wait a few minutes to be seated the new grills seemed easy to use and the waitress fired it up as soon as we ordered we piled in with beef prawns omelette seafood tempura and kimchi it was great watching our prawns and beef griddle while we supped on beer and korean tea which has overtones of vanilla we got lettuce with the beef which made it great to make beef barbecue sauce and kimchi parcels the omelette pancake was every bit as good as i had hoped after seeing judy joo make one on a tv programme the prawn fish and vegetable tempura were delicious crispy with firm flesh and even better when dipped in soy sauce the kimchi was really fiery there was far too much to eat but they kindly boxed the leftovers for us the waitresses are friendly and efficient it surprises me that so few brummies visit this place most of the clientele were oriental the food is delicious and 56 was not too bad considering how much we ordered with parking just across the road i don t know why you haven t visited highly recommended ,1
me and my friends visited this restaurant last friday all of the dishes just taste like putting the spicy bean paste on it would not recommend if you are really craving for real korean food ,0
