text,star
와..진짜 알바많네 원작응 말아먹은 수준이 아니라 모욕하는 수준의 영환데 사람들이 속을거같냐jQuery22408587704968788344_1532491616033 그리고 통일통일 외치는 것들이 시위 폭력 써대지 영화는 거꾸로 만들어놨네 ㅋㅋ개빨갱이 영화같으니라고  ,1
관람객이런 액션을 한국영화에서 볼 수 있다니!! ㅠㅠ  ,10
난생처음 영화보다가 튀쳐나온 영화 골든슬럼버도 버텼는데 못버티겠더라구요...  ,1
비주얼로는 깔 수가 없다 배우들 좋아하시고 눈호강 하시려면 보세요  ,10
"독특하고화려한액션씬,김지운감독특유분위기연출에 각배우가 잘어울리는옷을입은느낌을줘서전체적으로좋은시너지가 나온것같다. 원작자체 개연성이 그닥이라 이정도 각색이면 무난하지않나싶음. 배우들뿐아니라 영화자체 비주얼도최고였고, 별점테러당할정도는 절대 아니라고 생각  ",9
시사회 티켓 준 누나한테 잠시나마 원망했다. 미안해요  ,1
아 내 돈 ㅜㅠ올해 들어 최악의 선택이었다 차라리 그 돈으로 삼계탕 사먹으면 아깝지나 않지 ㅜㅠ  ,1
28년 살며 본 영화 키스씬중 제일 불편했습니다.  ,5
인랑 실사화 정말 잘 만들었음 ~! 액션 진짜 멋있네 잼있게 봤음!!!  ,10
왜 여전히 이런 영화가 만들어지는지 이해할 수 없었다.  ,1
"침묵하는 평론가들 , 긴장하는 영화 관계자들  ",4
불면증 있는 분들 추천해드리고요 난 중국영화인줄 알았어요  ,1
방금조조보고 왔습니다 <놈놈놈><악마를보았다> 등등에서 보여준 김지운감독 특유의 세련된 미장센이 돋보였고 배우들 연기또한 좋습니다. 인랑 원작감독도 극찬했다고하는데. 별점테러따위 믿지말고 꼭보세요.  ,10
아 미션 시간만 맞았어도 피할 수 있었는데 ㅠ  ,1
정우성하고 난민하고 빨리 사라졌으면.. 합니다.  ,1
영화보다보니 너무조용해 주위를둘러보니 다들딥슬립 저또한 너무졸렸습니다 액션하다 멜로부분에서 다들주무시네요 그만큼 지루했습니다 뭘주고자하는지모르겠는내용;; 배우들은 너무멋지고 연기도좋은데 내용..노답  ,2
강동원은 영화 고르는 안목을 좀 더 키워야겠네요..골든머시기부터 이게 대체 먼지..  ,3
2029년이라면서 아무리  나라가 하 수상해도 그렇지 촛불혁명을 평화롭게 이뤄낸 우리가 화염병을 던지며 시위를 한다는 설정부터 어이없고요.  무슨 70~80년대 시대극인줄. 시나리오 진짜 별로예요.  ,2
하 돈아깝다 10자 적을것도 없네  ,2
"201.8년도에 나온 미래영화라고는 생각할수없는 촌스러움. 익숙하고 오래된, 그리고 안이한 시나리오에 화가난다  ",3
