review,P/N
i need to be more adventurous here and get more than bibimbap or korean bbq but both of those things are so so good here that i rarely stray generous portions full of vegetables nice touches like freshly fried eggs on top and those steaming clay bowls are awesome they bring out a lot of sides banchan to the table for everyone to share good variety of dishes like kimchi bean sprouts potatoes etc staff is always welcoming and friendly all those awards are well earned ,1
hands down the most authentic korean experience i ve had back in the states the food is delicious and prepared by what appears to be a family make sure to eat your fill while you re there because korean food has the tendency to make itself known in the fridge i ve seen some complaints about service but they operate just like restaurants in korea do you ve got to tell them you want something and it ll be on the table in no time flat the only downside is that i didn t have the stomach to eat everything on the menu they basically have all of the classics that you could possibly want if i lived closer this would be a weekly spot ,1
my wife and i both enjoy korean food very much but it is very difficult to find in many cities in the south this restaurant was rated as the best korean food in the nashville area so we tried it i had the kimchee soup with beef and mary had bulgogi we were served the traditional little side dishes with our meal and these are always my way of separating the good from the very best the kim chee itself was on the rather tame side i did not request the really dilish hot stuff and am sorry i did not however it was very good and the soup was outstanding to the last drop and it was served in a huge bowl which i lifted and drained just like i used to do in korea the bulgogi was also very good the service was friendly and helpful and relatively fast and the prices were reasonable if you want to try korean food this is a very good place to do it with good food and a large selection to choose from i cannot remember the name of the red paste they always bring in a side dish which looks like ketchup but i can say that it is what stole the show for me here i dipped everything i could in it and it was scrumptious ,1
four folk for dinner staff explained all dishes even going into detail for the newcomers next to us who d not had korean food tasty dishes ample sized portions simple unadorned storefront no ambience at all save good food noisy when crowded expect to speak loudly and be heard by others at close in tables ,1
this restaurant has delicious korean food we recommend the bibimbap and the galbi they make their own kimchi and it is very tasty their service is quick and friendly the restaurant is busy at lunch on the weekend ,1
very small restaurant in a strip mall most authentic korean food ive hade in a long time their service is great but the food is excellent,1
decided to have my last lunch of 2016 at korea house i know there s a chinese new year but is there korean new year the iphone didn t capitalize korean new year but did for chinese new year so i guess not anyway back to korea house located in a strip mall along charlotte pike it s a rather small and unassuming restaurant we had a party of six and were at immediately but we also arrived at open i can see where this place would fill up rather quickly because of the small size as my first time here and i think my first time at a korean place i skimmed the pictures on here and got a couple tips from some friends who d ate here before i went with the chicken bulgogi 14 99 i wasn t sure what it was but the bulgogi seemed like the popular thing on the menu it came with a bunch of different sides we had a table of 6 and they brought out two ordered of sides for the table the portion for the chicken bulgogi was large it also came with a container of steamed white rice i mixed some of the rice in with the main dish and put a little of the sauce from the bottle onto my plate it was a little spicy but not insanely spicy i enjoyed it and would probably get it again if i went back ,1
the beef japchae and bulgogi are to die for and their bibimbap is toasty and filling great place for lunch and dinner go early because the place fills up fast the owner is on site and the staff are very friendly and helpfull can t say enough good about this restaurant ,1
i love korea house i was introduced to korea house 2 3 years ago and immediately was hooked wonderful food friendly staff i highly recommend korea house if you are looking for a korean food fix,1
this nashville restaurant is nestled in a little strip center on the west side there are about 12 tables and you may have to wait a bit if you show up during prime time but it will be well worth the wait the service is great and the food is spectacular very flavorful great sized portions the staff is very good at suggesting something if you aren t quite sure what to get the prices are fair food is great no excuse not to go there ,1
the food was amazing however the restaurant has won best of eleven years running i asked the owner if i had applied the correct sauce whereupon she took my chosticks from my hand and prepared my dish that was so awesome ,1
i stumbled across korea house by accident while in search of another location nearby what i found was an incredible eating experience i got so much food and every bite was good i can t wait to take my wife there someday ,1
this restaurant never disappoints we where all in need of comfort food and the staff at korea house provided it will style and warm smiles ,1
this is a fantastic hole in the wall that is always full to the brim of people who don t speak english you know a restaurant is great when it seems to be a gathering place for the local community of wherever they happen to be from the service is fantastic the food authentic and its all very well priced this is a not a fancy place so don t expect frills but do expect fantastic food ,1
we had family dinner at korea house and it was amazing food is the best takes a little time to get it but they always busy worth the wait very nice and friendly people wish they would expand their restaurant ,1
i have never dined in i just order it to go i always get the bulgogi with extra gochujang each time there s always something different included the meat is seasoned perfectly ,1
in today s world of cookie cutter chain restaurants and the thing of the moment menu items it is so rewarding to find a family owned restaurant presenting the ethnic food of their home country and they present it well and at a tremendous value four of us began with the wonderful seafood pancake accompanied with a sauce the waiter explained to us simply as pancake sauce just wonderful then we ordered an entree of beef of shrimp of pork and the kimchee rice we all had to laugh when we received our food with the companion dishes that come with any entree order we had covered every inch of our table with various dishes and sauces i won t list everything we ordered previous reviewers have listed their own favorites but it was all good and some great especially the seafood pancake and we finished every morsel no reservations so come early or you will wait for a table ,0
the food here is absolutely fantastic always consistent if you re looking for ambiance this is not the place for you ,1
the food is excellent and the staff super friendly the restaurant looked very clean with good light and seating the price is reasonable and the food memorable i live about an hour and a half away and have traveled to nashville just to eat here before they give you a very large portion along with the sides everyone at my table always leaves with a doggie bag or a doggie cup if they got soup the only downside is the restaurant is very small and everyone loves the place so if you come during the lunch or dinner rush be prepared to wait in line ,1
i would give korea house a 4 5 it can t get a 5 simply because of the atmosphere it is totally a dive that said the food is excellent the dolsot bibimbap is excellent the bulgogi is also very good the service is average the value is great i would have no problem giving them a 5 if the atmosphere was a little nicer and the service a little better that said i would recommend this place to anyone ,1
you can t get better korean then at the korean house food is spectacular and the service is great expect a short wait but well worth it we try to go at least once a month ,1
arrived early on a friday night and when we left at 6 30 the line was out the door tried soup bbq beef pancake and bibimbap bibimbap was the best all of the sides were delicious too tiny place ethnic feel great food ,1
delightful little family korean cafe this was my first experience with this cuisine and it was pleasant the kimchi fried rice with pork and fried egg was very good the portion was huge and combined with the veggies was an awesome sized lunch service was friendly a return visit to sample other dishes is assured ,1
don t go for atmosphere it s a strip mall storefront with a small dining room but the food it came out fast and it was wonderful the staff were busy but still friendly and efficient i will be back ,1
those of us in the nashville advertising community are a fairly tight knit bunch joe and i made a date for lunch and he suggested korea house on charlotte sure thing was my reply when i arrived on the scene joe was seated and i told him as i sat down that it was my first time not only at korea house but also to try korean food his immediate response was that he assumed i d been there with his cousin judy also an advertising vet and dear buddy of mine the place was shabby chic populated by diners who were largely seemingly korean a korean tv station was on the screens followed joe s lead and ordered the 16 dolsot bibimbap rice topped with vegetables and beef bits and a fried egg in a hot stone pot when our dishes arrived on he table they were literally sizzling the waitress with a beautiful smile had brought us small dishes of assorted additions to mix into our stone pots we mixed and blended the results were a delicious cacophony of flavors have to confess upon entry i was a bit worried glad i followed joe s lead with 16 just really great going back for sure thanks joe for introducing me to korea house totally enjoyed a new nashville favorite ,1
family owned authentic korean food the food is very delicious and in very reasonable price waitress are very nice and helpful highly suggest to anyone want to try authentic korean food with very unexpensive price ,1
my 1st time for this cuisine made even more pleasant w my lunch around the world group of 10 server jennifer was understanding about our cluelessness re korean food and kindly made a suggestion to help firm my choice and several others made the same decision yummy beef veggies rice served in a hot iron pot topped w egg the place is small and clean unencumbered by décor but welcoming to an almost capacity lunch bunch who seemed surprised to see our 10 seated perhaps in their usual spots we ll be back ,1
this was my first time experiencing korean fod and it was great two of us ordered beef bolgogi and one of us chicken bolgolgi it was very good and plentiful portions the kimshi was amazing cabbage cucumber and other we will do this again looks like a hole in the wall but don t let that stop you from experiencing great food and service ,1
you may not give this restaurant a second look if driving down charlotte but it s definitely worth the stop the food was delicious and hot both temperature and spice and you get a lot of it some lunch items were served in a steaming stone pot that kept the food cooking throughout the entire meal the menu is authentic korean cuisine with nearly 100 options to choose from however it s not somewhere to go if you are looking for a quick business lunch lunch lasted about 90 minutes it s also not good for large groups go with a group of 4 or less ,0
this is where i take my family whenever we are celebrating i love to share the food of my mother s side of the family with mine my kids love to go it s a treat every time i don t know what people are saying about the service i ve been going here for years and always have a friendly face eating here you can t go wrong ,1
we have been to korea house a few times the food is consistently good and is pretty cheap overall i order the bimbimbap with beef which comes with all the classic korean side accompaniments it comes out served in a hot stone or clay pot so that the bottom of the rice gets extremely crispy which makes it absolutely delicious another staple we normally get is the beef ribs they come with scallions and a wonderful sauce on a hot plate i absolutely love their house made hot sauce it is like a korean style sirachai sooo good the only things we haven t been huge fans of were the seafood pancake and the tripe soup the seafood pancake was almost inedible because it was so fishy tasting even with having a few dishes we would never order again the food is consistently pretty good service is ok its not fine dining or even like a regular restaurant the set up is a little cramped style but is normally full because its probably the best korean in nashville ,1
as out of towners we asked my bro where he d like to dine for his birthday we ended up at korea house initial impressions were not great little strip mall tiny crowded room folks standing in line outside should have been our first clue the service was slow but the food was oh so wonderful like beef bulgogi bibimbap eight sides to share fresh ingredients served hot authentic flavors dynamite experience and would like to sample other menu items soon ,0
korea house is not about appearances it s a simple square dining room about 20x30 feet in diameter tables sit as close together as possible and you can sit side by side in the center section i love it authentic cuisine and native language customers make this diner a fun wonderful place the smells emitting from the kitchen are full of spice and flavor before you even taste it all the dishes i see make my mouth water i m having the fried dumplings and the galbi pork short ribs i m writing this as i wait any time i get around good food i get excited there is nothing better than being able to enjoy wonderful cuisine in a relaxing speed food does not need to be hurried and this one is not fried dumplings are perfect small enough to be bite size crispy and flavorful conversation and someone to share with might make it better but my love affair with the food here kinda puts that on the back burner main meal arrived eight sides and a big platter of meat it s hard to start the kimchi varieties tofu potatoes ribs just so good it has taken me a few but i m back to finish this up sides are never ending always a bonus when they are good i feel like this is an anticlimactic end but i am very satisfied this is definitely a bring someone back place ,1
the food is excellent highly recommend the dolsot bibimbop prices are a little steep 11 30 service isn t the greatest it was our first time at a korean restaurant so when we would try to ask questions they were short with us or would just walk away when the woman brought the sides out we asked what they were and the woman as she was walking away said sides we knew that we wanted to know what each one was so when she walked back by i stopped her and asked what was in each one and she just did not want to tell us i finally just asked if any had fish since i don t like fish and was told one did but i would still go back because the food is that good ,1
my husband and i love korean food so we are always on the lookout for a good authentic korean restaurant because we travel to nashville several times a year we asked around and were directed to korea house the first thing i noticed when walking into the small restaurant was the amount of korean people having dinner good sign if you are looking for authentic korean food second thing i noticed was how well worn everything was in a nice homey way another good sign to me we ordered bulgogi one chicken one beef and dolsot bibimbap the food is amazingly good so flavorful and spicy the sides were great i especially love the kimchi and the bean sprouts our server mixed the bibimbap for us and it was perfect we will continue to frequent korea house whenever we are in nashville as the food is great on a side note the first time we visited the server we had a young woman was not very nice she was almost hostile for some reason we ordered three meals so we could share a little of each and take the rest back with us to eat over the next couple of days unless my teen son gets hungry then it is one meal she had the nerve to look at us and say that s a lot of food and just stood there so what we were paying for it so why the concern the second time our server was an older woman and she was awesome couldn t have asked for a better sever she sealed the deal for us as we had planned to look elsewhere if the service had been as poor as it had been the first time she brought us boxes for our leftover food and didn t bat an eye when we ordered three meals ,1
service is so bad here go to hai woon dai instead first of all the food here is very good but i live 90 miles away and this is the 2nd time in a row i ve been turned away i called ahead since i was running behind and they said be there by 9 30 and it would be okay i arrived at 9 20 and the owner still turned me away the previous time i waited in line til 9 30 but was turned away even though i arrived at 9 00 i will not be back again from now on i will go to hai woon dai where the food is just slightly less quality than that at korea house imo but the hospitality at hai woon dai is worlds better they remember me each time and i only eat at hai woon dai a few times per year ,0
we used to live in los angeles frequenting local korean restaurants for some of the most delicious food on earth after escaping to tennessee we realized how much we missed that authentic korean flavor it had been years since bulgogi or bibimbap had delighted my languishing tastebuds that is until the day a friend mentioned korea house it was exactly what we needed yes it s a cramped but the food was great and at the right price we ll be visiting again very soon ,1
went here with a friend my tab was 18 hers was 29 so we split the tab and he has me rung up as 18 and then when i hand him my card he quickly adds to it to make it 29 and then changes my friend s to 18 so quickly you wouldn t even know it without saying a word these people are rude if not criminal i let it go as a mistake but it s grown on me i felt the need to put in a negative review it s upset me so much it s old korean man who works there at the register i should have refused but it s only 10 but the more i think about it the more angry i become because he did it so purposely and so blatantly and then of course doesn t understand english i do not recommend this was practically criminal the food was okay the younger woman is nice there s some old lady probably the man s wife who came up without saying a word and just flung the food down on the table do not recommend do not come here and pay with credit card this sleezeball will quickly pull a bait and switch and pass it off as not being able to understand english scum ,0
very good compact setting with ample portions unique tastes seemed to be very popular with locals,1
three of us had lunch and even though we only ordered two main courses we had way too much food we started with fried pork dumplings and a seafood pancake which were very good the seafood pancake was closer to a pizza than a pancake because it had so much seafood in it it was better after the waitress suggested putting soy sause on it we forgot that they put out complimentary appetizers and that is why we had too much food there were about six small plates with different things really liked the potato the fish and stayed away from the kimchi its too hot for us my daugter ordered a beef dish and i ordered the chicken fried rice i did t try hers but she liked it and i liked my dish i definitely would recommend giving this restaurant a try ,1
been to lots of korean places this is always favorite friends has the same experience as me after they move they even came back for the restaurant took one star off only cuz there s no enough spaces for large groups ,1
authentic food if you love korean food this is the place for you good selection of sides cozy and friendly ,1
not bad for a small town k food would prefer more choices other than red hot spicy broths for my child but can t complain ,1
the inside does not look like much but the food is excellent we had various korean entrees and side dishes and all were well prepared tasty and filling these guys give a lot of food so go hungry if you like korean food then you should go to korea house in nashville ,1
the food tastes like at home delicious and sincere there are relatively large number of side dishes we could also find selections that are not normally offered in a typical korean restaurant the owner is very friendly it is a cozy and humble little place with very good food at reasonable price ,1
it s the place you always come with friends and super crowded at weekend s night i recently started liking the food here because actually there are not too many choices but they do have good food if you know what to order ,1
i am a regular visitor to the restaurant usually at least one time in a week the food is awesome parking is easy price is very reasonable they also take amex which is rare for an asian restaurant this size my favorite dishes are 19 and 26 cannot have enough ,1
i have eaten at korea house many times over that few years and it consistently provides excellent food and service ive eaten in korean restaurants nationwide and kh is right up there for food quality and value the only down sides are its location a strip mall way on the west side of the county and the decor strip mall chinese with korean signage but where it really counts food and service kh delivers ,1
if you are coming to nashville tn and you want real korean food meaning it is made by a wonderful korean family that will make you smile each time you see them than you need to go to korea house it is a little restaurant off of the beaten path of the tourist area but not far from the great shopping you will find at nashville west the best thing to do is order two or three meals and share them with all who are at your table ,1
my fiancee is a korean the first restaurant he brought me when i visited korea is this restaurant the taste of traditional food is great and fresh the waiter is nice ,1
you guys seriously korean is one of my all time favorite types of food to eat a bulgogi bi bim bop is home cooking to me and i am not by any stretch of the imagination korean i ve had bad korean food and am not universally accepting of the genre this is not bad korean food this is seriously delicious korean food the ban chan are like little gems set in front of you to sample and enhance your meal and they make their own kimchi too it s perfect on the hot sour meter as far as i m concerned the only thing this place does not have which i wouldn t expect them to that i miss are soju cocktails if you ve had soju cocktails with the easy pour spout and the deceptively tiny glasses you know what i mean otherwise love these welcoming happy people and the food they make ,1
a hidden gem in nashville and a place for authentic korean food we were visiting for the week and found this place on yelp bulgogi was tender and juicy beef barbecue cooked with onions and scallions and eaten with white rice the bibimbop is a dish with pickled carrots radishes lettuce barbecue beef egg mushrooms bean sprouts and a hot and sweet sauce it was beautiful and delicious the seafood pancake pajon was really good thick aromatic crispy with a tangy sauce and small pieces of shrimp and squid in the pancake the soondubujige a seafood stew was gobbled up by the family all the dishes are served with small side dishes including kimchee bean sprouts tempura omelettes radishes and cucumbers definitely recommend this place ,1
we love korea house we have been going there for years and have never been disappointed we lived for two years in korea and the food at korea house is better than we got there we always get the fried dumplins wonderful and gone in a flash then we order the bulgoggi it comes with lots of little side dishes you put the meat on a lettuce leaf add the red sauce some steamed rice and shredded radish yum this is the national dish of korean and it is great then we also get kimchee fried rice spicy and tasty and chop cha this is a noodle dish that has meat and veggies it is lots of food but you will want to taste it all and if there is any left take it home for later everyone that we have taken here loves it it is in a strip mall but you are not going for the atmosphere you are going for the food we drive 45 minutes to get there ,1
i agree with all the other reviews this is a great little restaurant in nashville super friendly service and delicious food overall a fantastic experience we ll definitely become regulars ,1
as far as a mom and pop ethnic restaurant goes this is at the highest level having spent a year in korea during service in the army many years ago it was a delight to discover this unassuming yet eminently satisfying korean restaurant the kimchis are excellent the chicken bulgogi delicious and amazingly the kimchi fried rice is outstanding ,1
eaten there often service good food anything is great ,1
my son and aughter in law were stationed in korea and they think that this place has the most authrentic food they have ever tasted outside of korea i know nothing about korean food but the three dishes that we had were delicious and i loved the little dishes of relish that you get before the meal our waitress was delightful the next time that i visit nashville i will head immediately for this restaurant the food is healthful as well as yummy ,1
located in a little strip shopping area on charlotte pike in west nashville korea house turned out to be a nice surprise i live between middle tn and santa monica so i travel between the two areas a lot often driving i ve had a lot of korean in la and korea house rivals or exceeds many of the restaurants there the prices are reasonable and the service is good the decor is nothing special just good food i ve been there many times since my first visit and it is a place i m glad to take visitors or meetings ,0
our family loves asian food we finally got to try this awesome korean restaurant in huntsville alabama rachel was our server and she did an outstanding job three of bbn us enjoyed bibimbap and one enjoyed kimchi fried rice we enjoyed all of the delicious food there is plenty of parking and they were advertising a new menu we will return soon ,1
my husband and i stopped here for lunch while we were out running errands and we were delightfully surprised to have some really good korean food my husband served in korea during the vietnam era and he loves korean food so we always want to try korean restaurants this one is not much to look at and the tables could use tablecloths or even plastic covers but we truly enjoyed the box lunches we ordered there was a nice variety and even the white rice was tasty we will definitely be going back ,1
we took 24 friends there last night and they handled us with no time delay food was great and a lot of the friends it was the first time for korean food and they liked it the onion pan cake was a hit with all ,1
i had never eaten korean food before and had tons of questions for the staff including what was in their marinades it turns out that they are made in house with ingredients such as sesame oil and soy sauce and what all the different pickles and condiments were everyone was very patient answering my questions and when the food arrived wow it was delicious i got the bibimbap with the marinated beef in a sizzling hot bowl soooo good i highly recommend this restaurant ,1
the food is great here the staff members are always super friendly the bulgogi and bibimbap are our favorites highly recommend this restaurant ,1
the menu needs better descriptions 1st time customers do not understand dishes with just titles the staff seem to rush to explain the menu the kimchi was the best part of the meal service was slow and i had to ask for refills on my ice tea may or may not go back ,0
while the food is good to the taste the serving sizes are comical they are very stingy with serving size also if i dine in for lunch and get the lunch plate you get 3 sides but if get a lunch plate to go you only get 2 sides and again the portion size is not enough to have for the entire meal sides should be the same regardless to whether i dine in or take out also yesterday 14 mar 19 i ordered a plate to go and asked how much for a side of reddish and the size because the last time i got the little plastic condiment size container for my sides so i wanted to know if i paid for extra what size would it be i was told the ounce size it was no waiter tried to compensate by saying he filled the container to full for me well duh why should it not be full especially as small as it was not my ounce for the price i fully intend to speak to management my next visit times are too hard for us to pay for such small portions we expect and demand better from american style establishments and all should be held to the same standard unacceptable i love korea needs to revamp their portion sizes and to go orders ,1
if you have been to korea or just enjoy the food this is a great place to get your fix food is very authentic service was good good place for family or couples reasonably priced ,1
we drive 85 plus miles quarterly to eat here and go shopping the atmosphere is friendly there is a sushi and beverage bar with a large screen television just in case alabama is playing roll tide the miso soup is very fine followed by fried dumplings and bulgulgi kimbob california roll bulgulgi platter with rice kimchi s and go chi jung spicy bean paste if this place was next door to me i would eat here five or more times a week yum special note to us the food tastes the best with ice water to drink not to cover the exotic flavors of the cuisine yum yum ,1
i was out for lunch and decided i wanted sushi i thought about places nearby that served sushi and decided on i love korea i had not been there recently so i was unaware if any changes had been made as i entered the parking lot i noticed that the main business sign still prominently displayed sushi bar i went in and was immediately seated as there were not many customers i was given a menu and no sushi was on it i asked a server and was told they did not do sushi anymore as it was lunch i did not have time to go elsewhere so i ordered a spicy chicken box the chicken was passable but i ve had much better at other korean or vietnamese restaurants in town the accompanying dishes were for the most part not very good no sauce was served with the stuffed dumpling as you usually see service was okay but nothing was making up for the false advertising and mediocre food you can get much better korean at a better lunch price at several places in huntsville as i left i took another look at the sign to make sure i wasn t crazy nope it still said sushi bar ,0
one of my favorite local restaurants in one of my favorite cities i love korea in huntsville alabama is conveniently located on jordan lane it s clean and the staff is friendly everyone is treated to a complimentary bowl of miso soup and my go to here is the spicy pork bibimbap along with the delicious kimchi i have never been disappointed with a meal here and can highly recommend it ,1
first visit to a korean restaurant i loved the chicken bibimbap whatever the korean name recipe cooked in a hot stoneware bowl but i was not very impressed with the kimchi it was not very tasteful i was hoping it to be quite spicy hot as i ve heard people talk about kimchi so ,0
a group of us meet at i love korea monthly the korean women in our group know what to order so i m never disappointed they have a kimchi made from korea radishes that is amazing they also have numerous other kimchis but you need to know what to ask for this isn t the most helpful review other than to say it s delicious ,1
i usually don t go to korean restaurants since i have it at home occasionally i went out to eat with a friend we randomly chose to go to i love korea i was not expecting much at first we were greeted by a friendly waitress service was great overall i decided to try kalbi and it was great it had a very authentic taste and side dishes that came with it were delightful i am a regular at this restaurant now and would recommend this place to anyone looking to try korean food ,1
tried korean food for the first time here and i loved it everything was so flavorful and fresh i usually try to stay away from beef when eating out but the meat in my bulgogi bimbimbap was cooked to perfection at i love korea ,1
first great service i went there for dinner was fairly early but bulgogi was leftover from lunch the meat was precooked too salty and tasted like chucks of something burnt rice was good miso soup was good fried pot stickers were good pan chan kimchi was good thinly sliced vinegar radish were good other stuff were not maybe depends on what you order here and it was my first time here but will not give it another chance disappointed with the meat ,0
so a co worker invited me to lunch for my birthday i went online saw great reviews and the menu and decided i d try the bimbimbap the waiter however suggested that as a first timer i might want to try the lunch box though both are crowd pleasers i went with his suggestion and wasn t unhappy i got the bugogli beef lunch box my co worker got the chicken wing box with a side of beef unsure why my co worker could get the chicken wing box with a side of beef when i couldn t get the beef box with a side of chicken was the same food but what i got was really tasty and flavorful the beef could ve been a bit more hot semi luke warm but still not bad we got there when they opened at 11 and within 20minutes the place was nearly packed i wasn t too happy with the dumplings they had somewhat of an odd after taste but my co worker says he liked them ,0
we normally enjoy korean food and once upon a time enjoyed this restaurant but now the food is unsavory even the rice and tea taste bad and the place is tired and a bit grubby ,0
this is probably the best korean restaurant in huntsville which says more about huntsville than it does about this restaurant the food is authentically korean spicy hot the menu is simple too many korean restaurants try to have chinese japenese or american food so come here if korean food is what you crave just a note it was friday evening and the place was empty ,1
the two of us ate lunch at i love korea the food was excellent in quantity and very good quality although it could have been spicier the service was efficient and friendly the atmosphere is a bit dark and dreary the overall value was very good we would return ,1
as the title says i love korea friendly employees and great food and service i love korea is an excellent choice for lunch this wasn t my first visit and won t be my last ,1
came at lunchtime i ordered the bugulgi bibimbop my goto standby korean dish off the lunch menu lunch menu has a varied selection of dishes for 9 99 btw food was good and service was excellent crowd inside wasn t too bad but parking was limited bill after food and drink tax and tip came to less than 15 00,1
i am very familiar with korean food and korea house was one of my all time favorite restaurants for korean food imagine my disappointment when i returned to huntsville to visit my folks and found it had closed they had the absolute best korean buffet i have ever had this week i am at home again visiting and i noticed this new korean restaurant i love korea it is right across the street from the original korea house i had the chicken bibimbop in the stone pot and it was excellent it came out sizzling hot from the kitchen and the miso soup is some of the best i ve had the side dishes were three kinds of kimche fishcakes and noodles but were tiny portions which could have been a bit larger i feel my mother had the chicken terriyaki and that was awesome too i would come back here but will always miss korea house ,1
great korean food fresh ingredients and wonderful flavors the outside of the building may not look the greatest but this place is truly fantastic ,1
we love korean food we visited this place while in a business trip unlike at home clarksville tn they only gave 6 side dishes which isn t so bad but the portions we very small then they didn t seem to want to give refills on the sides we had to ask the gal bi was too salty and not as tender as we are use to the champong was a bit too oily but had a pretty good flavor the spicy pork california rolls were very good the server was nice except for the fact that he didn t come to check on us for refills of sides over all if it s the only korean place in town i ll go back for another visit maybe dr mac,0
after looking at their menu and hearing from others how great this place is my husband and i decided to try it for lunch when we walked in we were greeted immediately and seated in the party section in the back they were very busy so this didn t bother us at all we were just happy to get a seat that fast we looked at the menu and our waiter was taking our order in less than 2 minutes i ordered the bulgogi lunch box and my husband ordered the rice dish with bulgogi and a fried egg on top i don t remember exactly what it was called we received our miso soup and then our little side dishes of kimchi radish etc very quickly the food was great the soup was served hot with the little tofu pieces and the side dishes were exactly what we expected when i received my lunch box i was impressed because it looked and smelled amazing my husband received his food about 3 4 minutes later because we didn t receive our food at the same time we never got a check to go pay we had to relay what we ordered to the cashier at the front and also because the women next to us ordered some soup that smelled so bad like hot blue cheese that it was very hard to continue to eat our lunch without getting sick i ve decided to give them 4 stars instead of 5 the service and food was great so we will return and i do highly recommend i love korea for great food for a great price hopefully when we do return no one will order that horrible soup again yuck ,1
i ve been here several times and i m a big fan i ve never been to korea so i m far from an expert on korean food but this restaurant is clean the staff is friendly professional there are many options and the meals i ve had have been excellent give i love korea a try you won t be disappointed and you ll be supporting local small business ,1
it was a nice surprise to find an authentic korean food place in huntsville and it was pretty yummy lots of good original foods to choose from the service was nice the place was clean and plenty of parking prices were pretty reasonable as well ,1
