,review,PN
10,It was not the best Korean food I had but I would go back. Place was busy. People without reservations were turned away. I got lucky because I was dining alone. Service was good.,1
11,Worth a visit..not amazing but good for sure. We came by for a late lunch and the place was empty. Service is not bad but you'd think with 4 people in the whole place it'd be superb. We ordered a combination of the sweet and the soy garlic and both were crispy and tasty. We also order bulgogi which was not great...very bland and at best just ok. Go for the fried chicken.,0
12,"In a nutshell:

Food and soups were all plain and bland.
Staff were not the friendliest.
Restaurant suits couples and large groups, I would encourage a family dining here.
Ventilation is a major issue in that place.
Price is not relative to the food quality nor dining experience.

Very disappointed and will probably stick to Topokki, that's just round the corner on Hurst St (check out my review on them too).

Wouldn't recommend at all.",0
13,"The contributors got it right with this place. Humble, cozy, friendly, ABSOLUTELY worth the visit. Don't expect a menu, it is tasty finger food. Excellent, creative drinks. We took a taxi there and the taxi driver spoke to the owner for directions. I never expected the Irish Owner to speak perfect Korean, but apparently he does. And then, get this, he waited outside for our taxi to arrive. Could he be nicer? NO. Could he have made a more inviting place for visitors to grab a drink and have a chat? No. Warren, you are a rock star and your bar is deserving of every 5 star review it gets. Like we told you that night -- we want to franchise you!",1
14,"Staff are really helpful, large selection of dishes, food was good but not excellent in my opinion. I enjoyed side dishes and accompaniments better than main ones",0
15,"Since this is Montreal, I didn't have high expectations for Korean bbq, but I wanted to give this place a try cus my friends here were so curious about it. The marinade was definitely not Korean....more like Chinese diluted to adhere to the typical sweetness of western food. It tasted cheap. I advise people to get drunk so you can forget about the bland taste and just keep eating. As I looked around, I felt bad for the people who are eating this, thinking this is actually Korean. I gave it one more star only because the price is relatively cheap: but remember that you get what you pay for.",0
16,"Great pub atmosphere. Warren is very friendly and really appreciates his customers. Thanks for the Rugby lesson. Nice relaxing time away from a hotel and the fish and chips were excellent. Really enjoyed the ""Cinder sauce"". Will be back.",1
17,Real korean food and from start to end great experience. Love it. Absolutely 5 star. For 30 pounds we had loads of food and a great experience!,1
18,"Something different from the usual UK style restaurants. Was an excellent visit. Meat was very delicious, my compliments to the chef..Me. sauces for dipping were tasty. Prices were reasonable. Would visit again. Side note, while the restaurant is wheelchair accessible the toilets are not.",1
19,"Perfect Atmosphere, Food, and Exceptional Customer Service! Terrific bar menu, beer selection, cocktails etc. Great Place!",1
20,"I went there with my friend on friday night. Not busy much that time. No greeting at the entrance. But i can accept that. As soon as we sat down, the waitress came and lay out the cutlery. My phone was on the table & she just pushed the phone away to put the napkin on the table. I was really surprised by her attitude and she noticed that too. But NO APOLOGY. Not at all !!
(Hint: dont know her name. But there's only one girl with the band hair in front, wearing gold necklace)",0
21,"The place is so small and they only accepted people with reservation in advance for dinner. This is our second time in this restaurant and we have noticed they getting busy or more hectic. Many people come and refused as they not making reservation even only 1-2 person. The food was the same, the Fish soup with red chili broth was great and tasty. The kimchi soup with Tuna also very delicious but the Bibimbap a little-bit boring, too dry and no have a good taste of sesame paste as in Seoul or any city in Korea. The free appetizers is always generous portions like in many Korean style restaurant. The high light was the Cinnamon drink, a little bit too sweet for western tongue but compliment the spiciness of Korean chili paste on the dish. The staff is friendly and seem so busy as she is alone serving so many guests.",0
22,Go for the food.  If you expect good ambience you will be disappointed.  It's a small restaurant and can get crowded so get there early or you will probably wait outside in line.  Food is good but don't expect it to be great like the ones in OC (CA) or LA.,0
23,"Si j'avais 횪 r챕sumer le Seoul Chako en un seul mot, je choisirais celui-l횪 : Gargantuesque. 
 
L'endroit est un BBQ cor챕en avec service 횪 volont챕. Ce qui veut dire qu'on fait cuire les aliments soi-m챗me sur un gril install챕 au centre de la table. Le tout est aliment챕 par un flot pratiquement ininterrompu de b흹uf, de saumon, de calmar, de porc marin챕 et/ou de crevette servis (d챕vers챕?) 횪 votre table selon la quantit챕 demand챕e. Voici donc l'endroit de pr챕dilection dans le centre-ville pour les gros app챕tits.

Dans l'ensemble, les aliments sont offerts dans une assez grande diversit챕 et dans une fraicheur tr챔s correcte. Certaines aliments sont marin챕es, d'autres, tel que le saumon ou le calmar, sont servis tel quel. Pour ma part, j'aimerais voir au menu beaucoup plus de type de marinade. Apr챔s tout, il s'agit de l'une des forces de la cuisine Cor챕enne, non ? 

Points forts : La quantit챕, la quantit챕, la quantit챕. La c척te de b흹uf marin챕e est excellente. Le concept est relativement unique que l'on ne voit jamais ailleurs dans les restos canadiens. 

Les points n챕gatifs : Le service est parfois d챕sorganis챕. Les soirs de fin de semaine, attendez 횪 faire la file. La prise de r챕servation semble relativement chaotique car j'ai souvent vu des clients argument챕 avec le placier les soirs de grande affluence. Le choix de viande marin챕e est assez limit챕. Pas de Soju disponible (c'est un resto Cor챕en, non???). L'ambiance rappel un peu les restos fast-food. Surtout, on 챕vite la pour un rendez-vous romantique. 

Somme-toute, c'est une assez bonne exp챕rience culinaire ax챕 sur la quantit챕, voir sur les exc챔s de table. On vient surtout ici avec son groupe d'ami affam챕 par une froide soir챕e d'hiver pour se goinfrer, s'empiffrer et prendre quelques livres.",0
24,"My wife and I used to come here and loved it. But over time, it's had a steady decline. While they have improved the decor, the food is not what it used to be. The past three times we have gone, the meat seemed to be substandard, looking pale, old or outright spoiled. Toady we walked in to the smell or spoiled chicken. Against our better judgement we stayed.  The sirloin looked oxidized, brown and as it had been out since yesterday.  And to top it off, they have turned up the grill high so they could cook faster. This lead to burnt food that was either overlooked on one plate and undercooked on another.

We're disappoint because we used to love this place. Not so much anymore. We probably won't be back and can't recommend it.",0
25,"This was one of the highly recommended food in many blog, but after trying various other types of Korean food, this one pale compared in terms of authenticity and taste to me. If you run out of ideals and this is near by, can consider for eat-to-live.

What I didn’t like about such restaurant is that you have to order the same kind of food for 2 persons because they cannot fry different meal/flavor on the same hot top.",1
26,I went here a couple days ago and I was excited because I was told it's amazing. I ordered bibimbap and the clear noodles (forgot what it's called but that was all I enjoyed). The bibimbap was extremely disappointing. I've eaten Korean dishes since I was a child and I've eaten bibimbap in South Korea as well. You are supposed to have either Korean rice or Japanese rice but they used the cheap Chinese long grain rice. It killed the entire meal. I wanted to impress my mother and take her out to eat but she didn't even enjoy it so it wasn't even worth it. And one of their employees were very rude and service was extremely slow. Maybe they're specialty is wings but if you're going to be a Korean restaurant and have other menu options. Make sure the other menu options are good as well.,0
27,"Not everything mix with Korean spicy sauce is Bibimbap, rice, meat mix with raw vegetables (salad).

I wonder if the owner or the chef ever tried or seen Korean Bibimbap or not... Lol

Okay, restaurant environment was nice, service okay, at least already better than other restaurants, can't expect much of Prague service.",0
28,"Before leaving NZ to live in Songdo, South Korea, I checked out the important things to me squash, golf and a good bar. Squash is virtually non existent, golf is too expensive, but the Cinder Bar , oh the Cinder Bar. From the first moment I entered the doors of this small bar, I realised it had a huge heart. The guy who runs it tirelessly is Warren, a guy who remembers everyone’s names. The beer selection is amazing ... 12 on tap and at least 12 different bottled ales. The food is simple , but wholesome and tasty. Do not visit Songdo, without checking the Cinder Bar out.",1
29,"The staff were wonderful, helping us to be comfortable with our first Korean BBQ experience. The food was excellent, fresh, tasty and awesomely different. Really a great place.",1
30,"The good reviews brought me to this place but I didn't get it. The table top experience was interesting, they place a pile of raw food in a pan on a cooker and come by occasionally to stir it for you. Why not just cook it in the kitchen? 

The taste of the food was at least 3 stars, it loses a star because of the small portions (no one should leave a restaurant hungry), and because I literally had to wash all my clothes the next day to get rid of the heavy onion smell (likely from all the cooking around you).",0
31,Kanpunygi(spicy chicken) was awful. The sauce was fine but the meat was very low quality. Staff were very friendly so I'm giving 1 star.,0
32,"Pros: Delicious foods for reasonable prices.

We order the pork tacos, pork slider and avocado salmon ball. All met our expectations. 

My favorite dish was the avocado salmon ball. It's a little small so you may want an appetizer to go with it. The taste was spot-on. 

For the price and convenient location, we'll go here over the best place for pork tacos (Seoul imo) all the time for a quick and casual dinner.  

This would be a perfect place to eat family style and try a little bit of everything.

I will return and try more dishes! Can't wait to try the wings!

Cons: the 2 person high tops are too close together. It makes me very uncomfortable being so close to another table. There is no privacy.

Chairs need to have sliders on the bottom as they are currently very loud when you move a chair.

The tv screens really don't add anything to the decor... but if you want to watch the game, they have lots of tvs. Personally, I think they cheapen the atmosphere.",0
33,"The owner is incredibly sweet and caring. You can see it in how he talks to his guests and how he cares deeply about his business and the community of Songdo. I was studying abroad in Songdo for about a year, and I can easily say that going to The Cinder Bar made me feel right at home and also very welcomed in a country/place that I was new to. Warren is not only kind, but also innovative. The food is delicious. I can't get enough of the fry dip! And he always had a new drink recommendation for me and my friends that we always loved! He is always reaching higher and making The Cinder Bar a fun, exciting, and comfortable place to meet up with friends and enjoy the night. Highly Recommend! Definitely swing by!",1
34,"This bar came highly recommended from a workmate of mine so all my workmates were keen to see if it lived up to it's expectations .I can say without a shadow of a doubt it is a fantastic little place . The owner Warren is the consummate host, he delights in serving some fine local and imported craft beers and makes wicked cocktails ( thanks for the hangover )
Looking forward to popping back to Cinders in Songdo to catch up with Warren not looking forward to the hangover .. 5 stars ..",1
35,"The place is very warm and welcoming, and also the staff tried their best to make us feel at home. They answered our questions regarding the food perfectly to help us decide, and the food ended up being quite affordable and very tasty! We had some Feuerfleisch, which apparently it's the national dish in South Korea, and some pork and squid, all of them incredible!

Pro tip: don't miss out on the sake, it was cheap and exceptional!",1
36,"I went with a group of friends and I ordered the pork belly ramen and it was not very good. The portion was extremely small and there was basically no pork belly in my bowl. The broth had no flavour and was under seasoned which was a big let down as it was $12.95. My friend ordered the simple ramen with an egg, and got shin ramen. The broth and noodles was exactly alike to the instant noodle brand shin ramen. Also service was not very good as we had to ask for the bill 4 times before receiving it on a tame night. Would not recommend.",0
37,"Lots of options in the area, interesting place, where you can cook your own meat under the barbeque section. I tried the beef which comes raw in a hot pot, you stir it and the more you do the more the beef gets cooked in the heat. Something different to what I've had anywhere before, the food was decent, I tried the eel also which was tasty.",1
38,We arrived early but still had to wait about 20 mins for a table since it's quite a small restaurant. The food was slightly too salty but the bibimbap was tasty as a whole.,0
39,"There's something magical about their beef brisket soup. It's so plain and simple, basically just meat and noodles in broth, but always hits the spot once you add in the flake salt and chili paste! I also include a generous heap of green onion with mine. You get this little dish of vinegar sauce to dip your meat in, which adds to the taste as well. And with most Korean food, it comes with a bowl of rice.

The banchan includes only three items: green peppers with bean paste, radish kimchi, and cabbage kimchi. Just forget everything but the cabbage kimchi because it is literally the best kimchi I have ever had in Las Vegas. The flavor is so on point! It's never over-fermented either, which I hate. 

The price is a little steep (~$15) considering it's a very simple soup and you have to do some work yourself, so I don't come here too often. But when the craving hits, it hits hard! E-Jo will always have a special place in my heart...Err, stomach.

The place could be a little cleaner...",0
40,Frequent this unique place... tasty north korean food accompanied by the performance of waitresses... a musical dinner.. a must to visit...,1
41,"I took my family last Friday evening for my anniversary meal - something different I thought because we always go to Cafe Soya which I must say is excellent. All started off well, waitress was friendly & explained the different meals. We ordered & then we waited 35 minutes for drinks & then our meals came 1 after the other - my wife's first after 50 minutes them mine 10 minutes later & my children then waited a further 10 minutes for their meals. It's not as if we ordered anything out of the ordinary. It's was very annoying knowing my children were hungry & me & my wife had our meals eventually but they still hadn't had theirs. The waitress said there was a mix up with the order which I couldn't understand because everything was from their menu & numbered. How easy could it be - the place wasn't busy so there was no excuse at all & the apologising during our meal got very irritating - too cap it off the waitress apologised again & then said they wouldn't charge the 10 % service charge. We couldn't wait too get out of there & would never return - the food is okay, the portions are mediocre & the prices are expensive for what it is but I will emphasise I will keep to what I know & stick ' Cafe Soya' in the future",0
42,"The service is one of the worse. I even questioned myself what had I done to make the waitress treat my table with so much hatred, but I guess she did that to every customer. She didnot say a word or understand anything we asked. She gave us cold stares. The food is no where compare to Toppoki, the other korean restaurant. I think because the chefs are not koreans. My friends live near the restaurant, its the only reason we came there so often. The size was small, pricey and not authentic. The best dish is bibimbap, that is the only compliment I can give",0
43,A friend recommended this place. We came here and ordered a few classic and popular Korean items but all are mediocre. Kind of disappointed. Especially considering the location and price.,0
44,"Reception was okay and they were very helpful. Not sure if this was because it was a Sunday but I am old and experienced enough to know my good was heated and not cooked fresh. My husband had a bibimbap which looked fresh and maybe should have ordered that.
Was recommended miss Korea by a colleague and this place is nothing to write home about. Sorry!",0
45,"Loved the experience of the Korean BBQ, loved the food and vibe, staff were very helpful and bill was very reasonable. Top marks!!",1
46,Food is decent and fun to cook on the bbq. Really good value and service was great. Not blown away by the food but would definitely return,1
47,"I was at a conference in Korea earlier this month and I was invited to this bar because one of the guys playing in the band was also at our conference. With other people from the conference, we went there and I had a great time. The music was great, the drinks were great and the vibe there was very chill and positive. Warren, who I think is the owner, was talking to us and making conversations with us and made us feel like we had been there before. If I ever go back to Korea, I'd definitely go there again.",1
48,"We heard that this would be a good place to eat because of the food but we sorely regretted coming here because of the horrible service. After we sat down, our waitress was rude and had attitude with us, likely because she did not speak much English. She even gave us looks while we were ordering because she had a difficult time understanding. Because she had a difficult time understanding, she placed the wrong order without even checking with us and then telling us that we can't change it because it has already been placed. After that, she did not try to check in with us and another server had to help us with the food. We never saw the waitress again during our meal. The table next to us were also tourists and we could tell they had some confusion with what they ordered and their waiter was impatient with them and rudely asked a server to deal with them. I would think because this location is in a tourist district that they would cater to tourists but they really fail with that. It seems to be always busy despite the poor service, probably because of its prime location. Will not be visiting again or recommending it to others. The food was okay despite not what we wanted to order.",0
49,Delicious food and even better service! I sat at Jesse's bar and had an amazing experience. Thank you genghis grill!!!!,0
50,"Caveat: I haven't ordered any of the two-person dishes, like the dak galbi. Those could very well be amazing.

Other than that, this place is solid but not notable in any way. The location is very convenient, the banchan are pretty good (love the radish and potato salad here), and the food is served hot and quickly. Everything is good, but it's pretty standard and I wouldn't say anything warrants more than a 3-star review. I think there are better places in the area (Huh Ga Ne, Buk Chang Dong Soon Tofu) but this is not a bad option at all.

Cash and debit only.",0
51,"This Korean BBQ restaurant has excellent food, and attentive servers. Very busy so reservations might be a good idea.",1
52,"Very disappointing.
We arrived Sunday late afternoon, the staff could not have been more disinterested. Despite only a few tables occupied the waitress was more interested in talking to other staff members than take our order.
The restaurant was physically cold. A couple at the next table had to put on their outdoor coats after ordering.
The (electric) grill took an age to warm up, and when the food arrived (full meat platter) half of it was still frozen, obviously previously band saw freezer cut -- no marinade. For a restaurant that claims to be a barbaque, the meat was given shockingly no thought, oddly butchered cuts that could not be cooked without undercooking one half or overcooking the other.

Service continued to be at best minimal. The grill was occasionally manned by a member of staff (taking away the one gimmick the style of cuisine has) who left without any word. When we took to cooking our own cuts of meat, we were sternly told on how to operate the grill as we obviously missed the 12 week preparatory course for dining.

We left with most of the meal uneaten- the waitress did not ask why or if the meal was saitisfactory. I'd like to personally apologise for interrupting her 8 hour paid social club.

If the idea of being exposed to cooking yourself is some kind of wild evening entertainment and you don't mind that there are far better places to actually eat, I'd highly recommend ""Korean BBQ"".",1
53,"If you are homesick as an ex pat then this is the bar for you meet up your buddies or even Korean friends. It’s lively friendly and good priced with great selection of local
Microbrews as well as international
Favorites.",1
54,"No lunch buffet and the sushi bar is closed. Limited lunch menu but good prices. Place had a slightly odd smell. Practically empty for lunch. Menu could use some more English to explain what each item is.

Ordered a lunch bento. Food was bland and salad was just plain lettuce, no dressing. Won't be back.",0
55,"Wasn’t quite sure what to expect when I was walking in. However, the food was amazing. If I dad a friend that was Korean, and they took me to their mums house. I would expect it might be like this. Pure comfort food.",0
56,"I went here with my daughter and two of her friends from University In California. Anna who is from South Korea did the honours and ordered for all of us.

Great ribeye, short rib and marinated fillet. Accompanying pickled veg was excellent. Lots of soft fluffy rice. The chilli paste was very tasty as well.

If you like Korean and you love BBQ beef then give it a go. Value for money for four people.",1
57,Just such nice people even let us stay a bit long but just the nicest people and the nicest place! Don't rush your meal enjoy the place and the people! Even taught us how to cook the food to perfection! Deffo go again!,1
58,"Ne pas y aller....sous aucun pr챕texte!!! 
Je vous conseille le McDo 2 coins de rues plus bas!
Pourquoi? 
Simplement car j'ai 챕t챕 malade....vraiment tr챔s malade! 
J'y suis all챕e avec mon copain qui a eu un mal de ventre 챕pouvantable pendant 24h. 
Nous n'avons m챗me pas termin챕 nos commandes que nous sommes all챕s payer pour prendre les jambes 횪 notre cou. 
Le service rapide. 
Les toilettes...d챕gueulasses, m챗me pire que dans certains pays...
La nourriture...tout ce qui a de plus ordinaire et pauvre en go청t.
Les soupes...ti챔des et sal챕es 횪 souhait...",0
59,Worst service ever. Took long for servers to take orders. Waiters were not attentive. Glasses were empty. No one even paid attention. And difficult to flag anyone down to get a refill. Waiter used his hands to fill glass with ice and when an ice cube fell on the counter he picked it right back up and placed it in a cup. Many items that were ordered weren't brought to the table. They even ran out of food. How do you even run out of chicken?? You're a restaurant that is all you can eat. Beware they tacked on a 15% service charge for their LACK of service. And we were not a group.,0
60,"I used to love this place but I've had two bad visits in a row so I'm done. Yesterday 2 out of the 4 people at my table got the wrong starch, one had a very long delay because they'd somehow lost his bowl, another had totally raw egg in their bowl and we all had trouble getting drinks refilled. The prior visit my husbands bowl was served to the table next to us but the gentleman recognized that it wasn't his and sent it away. It was eventually served to my husband although they did offer to let him make a new bowl. Honestly, no one wants to start over when everyone else at the table has their meal. It seems like once they upgraded the decor everything else went downhill. Nothing is quite as clean and tidy as it used to be and the ingredients aren't as fresh. I also was bothered to see the busser wiping chairs and tables with the same towel but I see that at a lot of places...yuck!",0
61,"Amazing Korean food, I am addicted to the Pork Bulgogi. But all the food is very fresh and very authentic.",1
62,"I was craving Korean food and didn't want to travel far so my friends and I decided to give this place a try. 
The menu is pretty limited. The couple next to us ordered bibimbap and it looked really good so we decided to try it as well. The food came out sizzling and there was a side of soup included with the order. 
The food was pretty good and portions are big but I still feel it's on the pricier side. This place also didn't provide side dishes like how other Korean restaurants would. 
Overall, if I was craving Korean food and couldn't travel far, then I would come here again. Otherwise it wouldn't be my first choice.",0
63,"PSA, they will only acknowledge you if you are Korean!!! We came here on a rather slow Monday afternoon. There were only 3 small parties already seated in the restaurant prior to us getting there. One lady saw us standing  near the door and told us to sit anywhere. And that was the last time anyone made eye contact with us.

A waitress kept serving the table right next to us and never welcomed us, nor gave us a menu or waters. Mind you we waited patiently for 30 minutes for some type of acknowledgement. She even started cleaning off a table as she continued to ignore us. Needless to say we will never return to this restaurant.",0
64,went on a saturday night with some friends. Comfortable interior. Owner was very friendly and chatted with us how he came to make his beer selections. He has a very nice selection of beers. The best I have seen in Korea up to this point. The food we had was very good. I will return.,1
65,"Not good, Terrible experience. No Help from a stupid waitresses for complex menu! Need to send them back for training for a a good customer service.
Not Again!!! Its a waste of time and Money!",0
66,"Enjoyed our first Korean barbecue experience in this good value restaurant. It was quiet on a Tuesday night with only a couple of other tables occupied. Found the menu a bit confusing as a first-timer and should have chosen more salads/veg to go with the huge plate of meat we ordered to cook at the table, but the staff were reasonably attentive, refilling our glasses and swapping out the cooking plates regularly. A fun experience in a cosy local restaurant.",1
67,"With only one review for this restaurant (and a bad one at that), I didn't have high hopes. But, my wife really wanted to have some Korean food before a concert (Symphony Hall, a 10min drive away). So, this is the only Korean restaurant we could find in Birmingham.

It has a car park directly opposite. The restaurant is on the edge of China Town, and looks ok from the outside. On entry, its clean and tidy, nothing glamourous but pleasant. The menu is very Korean I think, although I think some of the staff were Chinese (not surprising in China Town). The menu had a heavy BBQ component, with the option to have BBQ bucket on your table to cook the food, or pre cooked by the chef. We opted for the later, as had limited time.

There were also the famous spicy cabbage dishes and soups. A good idea was to have option of jugs for juice/drinks, at reduced cost, which is good especially if your driving...plenty of juices to chose from too.

The food was fresh, plentiful, good value and really tasty. Lamb skewers went down a treat, as did the beef in beer and sliced pork dishes.

The only thing I could fault was no hand drier in the small gents toilet. Waitress was friendly, polite and attentive.

Would go again, its a really good addition to the cuisine availble in Birmingham China Town.",1
68,"KGH is a good place to eat if: 1) Authenticity is not a concern 2) You want great prices 3) You want AYCE BBQ. 

First of all, it's Chinese owned. If you have Korean friends, they can quickly point out all the ways that the food and style is not authentic. But who cares, it's BBQ meat! It's always good! They are Chinese so as expected, service isn't that good. 

Second of all, I come here for the value. It's cheaper than AYCE sushi. Every once in a while, you just want to stuff yourself with meat. This is one of the best places to do it because you can hang out with your friends or family while cooking together. 

Thirdly, a lot of Korean places don't do AYCE. Some do, but they usually have restrictions like you only have 1 type of meat. KGH gives you several choices of meat/seafood. 

I'd say the quality of meat you get is generally worse than what you get at Korean places. But that's more than made up with quantity. The seasoning is slightly off. Also, the side dishes are definitely way off the mark. But you didn't come here for the side dishes. You came here for mountains of meat. Get ready to feel meat sweats after eating here. And make sure you don't wear nice clothes. You'll smell like BBQ after and want a shower.",0
69,"Recommended to try for Korean taste. Good place, nice food, clean environment and friendly staff.. Worth to try,",1
70,"The person who love with alcohol ... this Is the place for foreigners in Incheon. Quite reliable on quality and brands, somehow manageable pricing, no language barrier .... all bartenders can communicate and speak well in English. Interested one, shall try it.",1
71,"Loved this bar served by his owner. Ex-pat hang out with good music, good finger food, and a variety of beers and whiskey. Good vibes all over.",1
72,"First to start off, I got myself a Yelp account just to leave my opinion on this place. 

I've been coming to this location for almost 20 years and have always love it. The food WAS great, and the staff were friendly. 

Lately, within the last 3 months, their food has been overly salty. First,  their signature sweet soy sauce (the ones they have in the bottles on the tables) went from great to concentrated salt water. No sweetness left...

Then their meat marinate started to get salty as well. I told one of the owners about it and they said they were aware and was gonna to fix it soon. 

Ok... Nothing improved for 2 months. 

Today,  my parents wanted to go their for lunch.  I ordered my usual. BBQ beef lunch box. SALTY,  EVERYTHING.  

SALTY BEEF, SALTY TOFU, SALTY RADISH, SALTY BEAN SPROUTS,  even the rice was SALTY. Everything tasted like a salt lick!  Yuck! 

I'm not returning to any of their locations till they get better cooks with proper tongues, or get rid of 3/4 of their salt use. 

Good bye Korean Grill House, so disappointed...",0
73,"This new restaurant provides to my mind authentic Korean flavours and dining experiences. I am no expert but have a little knowledge of Korean food having visited the country about 20 times. I was told that the chef is Korean and this was borne out in the flavours I enjoyed in my lunchtime Bulgogi Bibimpap a few days ago.

The melon juice was typical of the kinds of accompaniment one enjoys with Korean food, and the kimchee (pickled spicy cabbage) really did take me back to a country I have enjoyed visiting over many years.

The restaurant was very quiet when we viisted but this was just before the start of the university terms in Nottingham. Nottingham's 60,000 new and returning students (or at any rate some of them) no doubt will give the place a bit of atmosphere shortly.

There was only one (non-Korean) waitress serving when we visited, but this no doubt reflects the fact that we were there at lunchtime, at a quiet time of the week. I would say however that the confident manner in which Korean waiters and waitresses serve and talk about the food it is their job to bring to you is another very nice aspect of restaurants in Korea. If this place can manage it it should hire some Korean waiting staff it would provide even more genuineness in the dining experience.

The only thing I really quibble however with is the name of the restaurant. Viewed either as referring to a yearning for visiting Korea or to a beauty pageant, it is slightly cheesy. Something that speaks to you of Korea's ancient culture in my view would be more appropriate. This is a small reservation about a generally good restaurant that I intend to visit again.",1
74,"Tourist trap. Rude staff, they just want you to eat and get out of their way. Food is just ok, no big deal. Very smoky, your clothes and hair will come out smelling like BBQ for days. And the smell of chilli is so strong that I couldn't stop coughing because of it.",0
